	B6_rep1	B6_rep2	B6_rep3	D2_rep1	D2_rep2	D2_rep3
Cenpm	20	34	12	14	17	29
Cenpn	90	110	89	74	81	105
Cenpo	574	634	496	404	477	546
Cenpp	79	75	51	60	62	69
Cenpq	381	405	289	264	301	378
Cenpt	349	314	246	247	257	274
Cenpu	214	232	153	131	153	184
Cenpv	159	135	96	108	112	132
Cenpw	34	31	14	34	30	34
Cep104	1349	1432	994	962	1135	1223
Cep112	1543	1479	1041	451	511	580
Cep112it	36	45	35	11	13	8
Cep112os1	173	193	140	66	104	109
Cep120	6155	5658	4338	4111	4576	4958
Cep126	1052	1060	752	647	749	814
Cep128	659	619	474	241	259	263
Cep131	628	546	500	590	700	664
Cep135	1303	1275	966	902	1077	1161
Cep152	699	665	546	556	592	664
Cep162	1117	1015	802	947	1074	1088
Cep164	6751	6411	5301	4520	5319	5239
Cep170	3962	3664	2737	2540	2947	3205
Cep170b	3655	3413	2535	2400	2583	2821
Cep19	1592	1481	1075	916	1049	1113
Cep192	997	951	703	584	716	764
Cep250	5787	5047	4478	3748	4463	4048
Cep290	8707	8392	6584	6047	7442	7299
Cep295	1724	1636	1183	1070	1331	1315
Cep350	9236	8392	7164	5473	6549	6489
Cep41	772	748	587	473	537	525
Cep44	838	776	589	582	689	743
Cep55	8	7	3	5	4	0
Cep57	1534	1477	1033	1157	1305	1416
Cep57l1	497	434	378	340	390	388
Cep63	2042	1997	1539	1088	1291	1294
Cep68	1353	1209	941	973	1160	1254
Cep70	749	743	548	617	750	717
Cep72	131	147	91	110	136	133
Cep76	1071	975	763	724	750	952
Cep78	678	682	519	467	551	530
Cep83	758	651	519	464	519	544
Cep85	2562	2111	1740	2746	3014	3148
Cep85l	317	378	249	278	272	303
Cep89	712	746	613	634	638	782
Cep95	889	841	658	635	848	703
Cep97	1495	1436	1192	1155	1373	1428
Cept1	2233	1924	1478	1477	1688	1899
Cer1	1	3	3	1	0	2
Cercam	99	99	90	90	100	91
Cerk	8322	7867	6141	5643	6247	6736
Cerkl	1145	1141	906	3401	4056	3907
Cers1	719	690	535	494	485	591
Cers2	1617	1623	1190	1088	1221	1287
Cers3	31	40	22	12	6	14
Cers4	5170	5058	3841	4266	5121	5135
Cers5	1762	1678	1214	1255	1356	1417
